latitude,longitude,province
36.733000000000004,36.2099,Hatay
38.0335,41.486000000000004,Batman
37.736999999999995,37.5192,Adıyaman
37.7441,37.5235,Adıyaman
41.2646,31.425,Zonguldak
41.2483,26.326,Edirne
41.2466,26.3319,Edirne
39.5628,26.9725,Balıkesir
37.4726,38.6525,Şanlıurfa
37.1156,40.167,Mardin
36.7184,36.2069,Hatay
37.1842,40.141999999999996,Mardin
37.1824,40.1535,Mardin
37.141,40.2133,Mardin
38.6548,39.7665,Elâzığ
37.2433,40.2227,Mardin
37.2384,39.8541,Şanlıurfa
37.1191,40.823,Mardin
37.1269,40.625,Mardin
37.1253,40.6115,Mardin
37.1163,40.4481,Mardin
37.107,40.3683,Mardin
37.1427,40.235,Mardin
37.1944,40.5105,Mardin
37.1589,40.2052,Mardin
37.1481,40.1142,Mardin
37.2042,40.5088,Mardin
37.2077,40.4531,Mardin
37.2174,40.4513,Mardin
37.1924,40.2391,Mardin
37.2449,40.2359,Mardin
37.4801,38.656,Şanlıurfa
37.2426,39.6165,Şanlıurfa
37.489000000000004,39.2217,Şanlıurfa
38.6446,39.764,Elâzığ
39.1461,34.0377,Kırşehir
37.2705,40.1286,Mardin
37.2879,40.1979,Mardin
38.2015,29.7371,Denizli
37.6057,27.4443,Aydın
38.6491,39.7712,Elâzığ
37.1329,29.5495,Burdur
39.2383,26.8993,İzmir
38.6148,28.2541,Manisa
37.7369,31.6855,Konya
36.3039,29.3581,Antalya
36.3158,29.3713,Antalya
36.3054,29.3728,Antalya
38.6559,39.7759,Elâzığ
38.7437,26.9478,İzmir
38.3202,28.8614,Uşak
37.1935,40.156,Mardin
36.7144,36.2036,Hatay
36.7338,36.2108,Hatay
37.6725,29.7318,Burdur
39.2063,33.036,Ankara
37.2528,39.6366,Şanlıurfa
37.1553,40.1137,Mardin
37.1536,40.1247,Mardin
37.1399,40.1922,Mardin
37.185,40.327,Mardin
37.1787,40.2993,Mardin
37.907,30.3246,Isparta
37.6021,27.448,Aydın
37.9058,30.3191,Isparta
38.561,27.7123,Manisa
39.1348,26.8799,İzmir
38.4267,28.3931,Manisa
37.56,28.9859,Denizli
37.5584,28.9971,Denizli
37.7141,27.3878,Aydın
37.7125,27.3997,Aydın
36.7187,37.614000000000004,
36.717,37.6027,
36.6587,36.5399,Hatay
37.402,37.1856,Kahramanmaraş
37.5292,36.8771,Kahramanmaraş
38.6491,39.7745,Elâzığ
38.6475,39.7627,Elâzığ
38.6917,27.4957,Manisa
38.6828,27.4978,Manisa
38.7708,27.4716,Manisa
41.1913,26.3909,Edirne
36.7208,37.6131,
38.6482,39.7683,Elâzığ
37.1595,40.1262,Mardin
37.1592,40.1195,Mardin
37.1544,40.1423,Mardin
37.0106,35.0356,Mersin
37.0446,40.2715,Mardin
37.1535,40.7336,Mardin
37.1221,40.5301,Mardin
37.1204,40.5188,Mardin
37.124,40.4825,Mardin
37.1207,40.1623,Mardin
37.1188,40.1507,Mardin
37.117,40.1391,Mardin
37.1351,40.1946,Mardin
36.6811,37.5,Gaziantep
38.6511,39.7669,Elâzığ
37.1014,40.2631,Mardin
37.1044,40.2574,Mardin
37.2277,40.2192,Mardin
37.0072,40.34,Mardin
37.1437,40.4361,Mardin
37.1419,40.4164,Mardin
39.400999999999996,31.0933,
41.2378,36.4581,Samsun
41.2584,31.4157,Zonguldak
37.4392,32.7193,Konya
36.1725,33.4171,Mersin
37.0823,37.798,Gaziantep
37.3443,38.429,Şanlıurfa
37.4199,38.8006,Şanlıurfa
37.4289,38.7984,Şanlıurfa
37.501999999999995,38.9101,Şanlıurfa
38.6473,39.7701,Elâzığ
37.573,32.6087,Konya
38.3115,33.042,Konya
38.3759,33.0458,Konya
37.8278,29.1609,Denizli
38.4472,33.0232,Konya
37.8569,29.1325,Denizli
37.8547,29.1195,Denizli
38.6736,31.1347,Afyonkarahisar
38.6719,31.1232,Afyonkarahisar
37.1656,39.5601,Şanlıurfa
37.152,39.5825,Şanlıurfa
36.3127,29.3756,Antalya
37.0556,37.1107,Gaziantep
37.3152,36.7616,Kahramanmaraş
37.4243,36.9207,Kahramanmaraş
38.5077,38.0216,Malatya
38.7344,26.9449,İzmir
38.6213,29.6001,Uşak
38.6702,27.9249,Manisa
36.9241,35.3611,Adana
36.9222,35.3495,Adana
36.9232,35.3595,Adana
36.9222,35.3611,Adana
37.3338,35.7682,Adana
41.7712,26.5967,Edirne
36.7364,36.2125,Hatay
38.6734,31.1169,Afyonkarahisar
38.7328,26.9437,İzmir
40.9939,34.6279,Çorum
41.3124,26.836,Edirne
41.0432,34.2163,Kastamonu
41.041000000000004,34.229,Kastamonu
41.2562,31.4164,Zonguldak
40.5041,33.601,Çankırı
40.4126,33.3028,Çankırı
39.8073,30.9611,
38.6662,31.1248,Afyonkarahisar
37.3702,32.5505,Konya
37.6758,31.7971,Konya
38.662,31.2083,Afyonkarahisar
40.5119,35.666,Amasya
38.7364,26.9528,İzmir
36.9275,30.6409,Antalya
37.4625,32.924,Konya
37.4693,32.8945,Konya
37.6779,33.3896,Konya
37.6749,33.3845,Konya
38.6945,27.9637,Manisa
38.6451,27.641,Manisa
39.5867,31.8628,
39.8823,30.9018,
39.7405,28.0258,Balıkesir
36.8645,34.913000000000004,Mersin
36.8627,34.9244,Mersin
37.8509,40.3059,Diyarbakır
37.8488,40.2933,Diyarbakır
37.6268,32.6025,Konya
37.6258,32.5985,Konya
38.6541,39.7646,Elâzığ
38.6525,39.775999999999996,Elâzığ
36.9173,38.6759,Şanlıurfa
40.55,35.3034,Çorum
41.2885,26.5171,Edirne
39.672,32.5591,Ankara
38.8577,31.8795,Konya
38.8505,31.884,Konya
38.56,31.6096,Konya
38.558,31.6216,Konya
38.8056,26.9348,İzmir
36.7405,36.2064,Hatay
37.091,36.1637,Osmaniye
37.996,40.2485,Diyarbakır
38.6502,39.7681,Elâzığ
39.9872,44.4146,Iğdır
39.9854,44.4262,Iğdır
37.8255,40.5172,Diyarbakır
36.8404,39.043,Şanlıurfa
36.7473,37.586,Gaziantep
38.6261,26.8841,İzmir
38.6209,26.9079,İzmir
36.9274,30.6432,Antalya
37.596,33.1768,Konya
37.7358,32.7861,Konya
37.7341,32.7695,Konya
37.7397,32.7787,Konya
37.7381,32.7621,Konya
38.083,29.6059,Denizli
38.0815,29.5938,Denizli
38.2015,29.7378,Denizli
37.9972,27.7356,İzmir
38.2508,27.7628,İzmir
38.7085,27.357,Manisa
39.1479,27.326999999999998,İzmir
39.2339,26.7739,Balıkesir
39.9522,32.0813,Ankara
39.9505,32.0643,Ankara
39.9555,32.0749,Ankara
39.9538,32.058,Ankara
39.4971,28.1195,Balıkesir
39.5656,27.9408,Balıkesir
40.2789,29.9695,Bilecik
40.1201,28.5173,Bursa
40.1185,28.5052,Bursa
41.2068,28.664,İstanbul
37.0749,40.0314,Şanlıurfa
37.0752,40.0249,Şanlıurfa
37.166,37.3142,Gaziantep
37.7144,40.7656,Diyarbakır
38.0254,41.4345,Batman
38.604,39.1734,Elâzığ
38.8011,38.3011,Malatya
37.5002,33.5809,Karaman
37.4986,33.5682,Konya
37.4529,32.9121,Konya
37.4514,32.9,Konya
37.6346,33.2593,Konya
37.5987,27.4448,Aydın
37.9829,29.0371,Denizli
37.819,28.024,Aydın
37.7382,27.4076,Aydın
38.4336,32.7511,Konya
38.3908,33.0185,Konya
38.1972,33.2498,Konya
37.6973,33.3442,Konya
37.6958,33.3563,Konya
37.5943,34.1203,Konya
37.6209,33.3717,Konya
37.5055,33.5505,Konya
40.2606,29.0744,Bursa
39.6921,27.7856,Balıkesir
38.7368,26.9478,İzmir
41.1852,32.6276,Karabük
41.1835,32.6159,Karabük
41.2386,36.4718,Samsun
38.6528,39.7761,Elâzığ
36.6836,37.4845,Gaziantep
38.6145,31.1238,Afyonkarahisar
41.2377,36.4682,Samsun
40.5498,34.3275,Çorum
39.7909,26.4311,Çanakkale
37.2018,39.1124,Şanlıurfa
38.5752,32.1915,Konya
38.5725,32.205999999999996,Konya
37.1668,37.3187,Gaziantep
37.7037,33.0199,Konya
37.9456,30.6692,Isparta
37.9435,30.6818,Isparta
37.6831,28.8823,Denizli
37.1706,29.5848,Burdur
37.6613,33.3099,Konya
37.46,38.6236,Şanlıurfa
37.6961,39.1705,Şanlıurfa
37.6945,39.1583,Şanlıurfa
37.4155,32.9697,Karaman
37.6032,33.3264,Konya
38.6467,39.7694,Elâzığ
37.7974,33.4295,Konya
37.8071,33.4268,Konya
38.42,34.6868,Nevşehir
39.8208,33.8404,Kırıkkale
38.6141,26.8733,İzmir
38.6914,32.6414,Konya
41.2392,36.4629,Samsun
38.6939,32.6555,Konya
38.7382,32.6719,Konya
39.8229,33.8531,Kırıkkale
41.1917,32.6229,Karabük
40.0055,34.0997,Kırıkkale
38.6524,39.7691,Elâzığ
40.4965,36.9576,
37.5384,27.2878,Aydın
37.1689,37.2997,Gaziantep
37.2137,42.6036,Şırnak
36.7397,37.676,
36.8982,37.9587,Gaziantep
37.1766,39.0664,Şanlıurfa
37.1748,39.0551,Şanlıurfa
40.3109,33.7324,Kırıkkale
40.321999999999996,33.731,Kırıkkale
40.3173,33.7052,Kırıkkale
40.8127,37.2657,Ordu
37.5341,33.5896,Karaman
40.2962,36.045,
39.3183,37.9054,Sivas
39.8004,33.8058,Kırıkkale
39.7988,33.8174,Kırıkkale
38.4255,37.2745,Kahramanmaraş
38.4206,37.246,Kahramanmaraş
38.4542,32.9489,Konya
38.2949,33.1032,Konya
38.2933,33.1147,Konya
38.2517,33.082,Konya
38.2178,33.1924,Konya
38.0778,33.4646,Aksaray
37.9154,33.3759,Konya
37.8836,33.3391,Konya
37.3311,35.6815,Adana
37.5325,33.6008,Karaman
37.5017,32.91,Konya
36.7742,37.6552,Gaziantep
36.7739,37.6502,Gaziantep
37.5252,33.5931,Karaman
37.624,33.3587,Konya
37.6344,33.3802,Konya
37.6273,33.3503,Konya
38.0071,33.4488,Aksaray
38.0187,33.4689,Aksaray
38.0118,33.44,Aksaray
38.4439,33.0193,Konya
38.6463,39.771,Elâzığ
40.3096,33.7367,Kırıkkale
41.1887,32.6193,Karabük
38.1668,33.2769,Aksaray
38.066,32.6443,Konya
37.6459,33.3625,Konya
37.6453,33.357,Konya
37.5732,33.3996,Konya
37.5734,33.3931,Konya
36.9144,35.5816,Adana
38.266,33.1256,Konya
37.4183,32.9817,Karaman
37.4167,32.9705,Karaman
37.4152,32.9593,Karaman
37.4341,32.8974,Konya
37.4534,32.9046,Konya
37.4718,32.9065,Konya
37.4745,32.8597,Konya
37.4729,32.8485,Konya
37.488,32.8913,Konya
36.8436,28.7594,Muğla
37.5435,32.96,Konya
37.5153,32.7582,Konya
37.5655,32.9137,Konya
37.6618,33.4174,Konya
37.5691,30.5807,Burdur
37.5762,30.5724,Burdur
38.503,37.5343,Malatya
38.2017,33.1217,Konya
37.9456,30.6788,Isparta
37.9437,30.666999999999998,Isparta
37.9326,30.5363,Isparta
38.3116,33.0497,Konya
38.31,33.0382,Konya
38.4817,31.3354,Konya
38.7414,32.6283,Konya
38.7398,32.6169,Konya
41.5281,35.6258,Samsun
41.5263,35.6089,Samsun
41.5499,34.7044,Sinop
41.5483,34.69,Sinop
41.8784,35.0107,Sinop
41.9423,34.7659,Sinop
41.8674,34.5388,Sinop
38.7866,39.8635,Elâzığ
38.6541,39.777,Elâzığ
38.6762,39.3168,Elâzığ
38.608000000000004,39.1673,Elâzığ
37.717,39.4444,Şanlıurfa
37.6933,39.4128,Şanlıurfa
36.8376,39.2998,Şanlıurfa
37.5114,32.7258,Konya
36.7294,36.2155,Hatay
37.8139,41.4927,Batman
37.8191,41.4858,Batman
37.7513,40.9566,Diyarbakır
37.8602,40.6109,Diyarbakır
37.8709,40.6077,Diyarbakır
40.7965,39.963,
40.8041,39.972,
41.9206,33.7074,Kastamonu
41.3759,35.1324,Sinop
41.3714,35.1524,Sinop
41.3729,35.1251,Sinop
