latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
36.733,36.2099,304.4,1.1,1,2020-01-10,1948,Terra,MODIS,60,6.03,280.9,10.8,N,2
38.0335,41.486,302.1,3.3,1.7,2020-01-11,1106,Aqua,MODIS,51,6.03,282.5,38.7,D,0
37.737,37.5192,301.5,1.8,1.3,2020-01-11,1106,Aqua,MODIS,45,6.03,283.9,14.9,D,0
37.7441,37.5235,303.6,1.8,1.3,2020-01-11,1106,Aqua,MODIS,49,6.03,283.7,16.6,D,0
41.2646,31.425,305.8,1,1,2020-01-11,1107,Aqua,MODIS,0,6.03,286.7,9,D,2
41.2483,26.326,305,1.2,1.1,2020-01-11,1108,Aqua,MODIS,60,6.03,283.6,10.4,D,0
41.2466,26.3319,309.1,1.2,1.1,2020-01-11,1108,Aqua,MODIS,68,6.03,284.1,12.8,D,0
39.5628,26.9725,309.8,1,1,2020-01-13,0915,Terra,MODIS,60,6.03,283,12.3,D,0
37.4726,38.6525,301.9,1.4,1.2,2020-01-13,1054,Aqua,MODIS,43,6.03,286.1,9,D,0
37.1156,40.167,300.8,1,1,2020-01-14,0820,Terra,MODIS,42,6.03,285.9,5.4,D,0
36.7184,36.2069,305.7,1.1,1,2020-01-14,0820,Terra,MODIS,0,6.03,287.4,8.6,D,0
37.1842,40.142,303.1,1,1,2020-01-14,0820,Terra,MODIS,55,6.03,287,6.1,D,0
37.1824,40.1535,305.3,1,1,2020-01-14,0820,Terra,MODIS,61,6.03,287.5,7.5,D,0
37.141,40.2133,301.9,2.1,1.4,2020-01-14,0959,Aqua,MODIS,50,6.03,288.8,14.2,D,0
38.6548,39.7665,300.5,1,1,2020-01-14,1924,Terra,MODIS,29,6.03,268.3,9.6,N,0
37.2433,40.2227,305.3,1.2,1.1,2020-01-15,1041,Aqua,MODIS,61,6.03,289.3,7.9,D,0
37.2384,39.8541,302,1.1,1.1,2020-01-15,1041,Aqua,MODIS,50,6.03,289.2,5.4,D,0
37.1191,40.823,320.7,1.2,1.1,2020-01-15,1041,Aqua,MODIS,80,6.03,291.1,25.4,D,0
37.1269,40.625,304.2,1.2,1.1,2020-01-15,1041,Aqua,MODIS,58,6.03,288.3,7.3,D,0
37.1253,40.6115,316.7,1.2,1.1,2020-01-15,1041,Aqua,MODIS,77,6.03,290.5,19.3,D,2
37.1163,40.4481,301,1.2,1.1,2020-01-15,1041,Aqua,MODIS,43,6.03,289,4.7,D,0
37.107,40.3683,301.5,1.2,1.1,2020-01-15,1041,Aqua,MODIS,47,6.03,288.3,5.2,D,0
37.1427,40.235,303,1.2,1.1,2020-01-15,1041,Aqua,MODIS,54,6.03,288.5,6,D,0
37.1944,40.5105,304,1.2,1.1,2020-01-15,1041,Aqua,MODIS,58,6.03,289.5,7,D,0
37.1589,40.2052,306.7,1.2,1.1,2020-01-15,1041,Aqua,MODIS,64,6.03,290.2,8.6,D,0
37.1481,40.1142,300.4,1.2,1.1,2020-01-15,1041,Aqua,MODIS,35,6.03,287.8,4.5,D,0
37.2042,40.5088,304.4,1.2,1.1,2020-01-15,1041,Aqua,MODIS,59,6.03,289.3,7.4,D,0
