"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS","WT01","WT11"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","37.728","-122.5052","2.4","2010-01-01",,,"0.15","0.0","0.0",,"57","50","56",,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","37.728","-122.5052","2.4","2010-01-02",,,"0.02","0.0","0.0",,"57","53","53",,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","37.728","-122.5052","2.4","2010-01-03",,,"0.00","0.0","0.0",,"58","47","55",,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","37.728","-122.5052","2.4","2010-01-04",,,"0.00","0.0","0.0",,"56","45","54",,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","37.728","-122.5052","2.4","2010-01-05",,,"0.00","0.0","0.0",,"58","46","54",,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","37.728","-122.5052","2.4","2010-01-06",,,"0.00","0.0","0.0",,"58","45","53",,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","37.728","-122.5052","2.4","2010-01-07",,,"0.00","0.0","0.0",,"57","45","51",,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","37.728","-122.5052","2.4","2010-01-08",,,"0.00","0.0","0.0",,"55","46","50",,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","37.728","-122.5052","2.4","2010-01-09",,,"0.00","0.0","0.0",,"56","46","54",,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","37.728","-122.5052","2.4","2010-01-10",,,"0.00","0.0","0.0",,"55","42","55",,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","37.728","-122.5052","2.4","2010-01-11",,,"0.00","0.0","0.0",,"56","43","55",,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","37.728","-122.5052","2.4","2010-01-12",,,"0.46","0.0","0.0",,"59","43","59",,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","37.728","-122.5052","2.4","2010-01-13",,,"0.00","0.0","0.0",,"59","55","55",,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","37.728","-122.5052","2.4","2010-01-14",,,"0.00","0.0","0.0",,"58","45","54",,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","37.728","-122.5052","2.4","2010-01-15",,,"0.00","0.0","0.0",,"57","48","54",,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","37.728","-122.5052","2.4","2010-01-16",,,"0.12","0.0","0.0",,"58","48","56",,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","37.728","-122.5052","2.4","2010-01-17",,,"0.28","0.0","0.0",,"57","50","54",,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","37.728","-122.5052","2.4","2010-01-18",,,"1.41","0.0","0.0",,"55","47","54",,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","37.728","-122.5052","2.4","2010-01-19",,,"1.59","0.0","0.0",,"57","47","50",,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","37.728","-122.5052","2.4","2010-01-20",,,"0.92","0.0","0.0",,"54","48","53",,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","37.728","-122.5052","2.4","2010-01-21",,,"0.71","0.0","0.0",,"53","43","43",,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","37.728","-122.5052","2.4","2010-01-22",,,"0.20","0.0","0.0",,"52","41","47",,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","37.728","-122.5052","2.4","2010-01-23",,,"0.29","0.0","0.0",,"55","44","54",,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","37.728","-122.5052","2.4","2010-01-24",,,"0.00","0.0","0.0",,"54","46","52",,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","37.728","-122.5052","2.4","2010-01-25",,,"1.01","0.0","0.0",,"56","46","55",,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","37.728","-122.5052","2.4","2010-01-26",,,"0.29","0.0","0.0",,"56","50","52",,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","37.728","-122.5052","2.4","2010-01-27",,,"0.00","0.0","0.0",,"56","45","52",,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","37.728","-122.5052","2.4","2010-01-28",,,"0.00","0.0","0.0",,"59","47","55",,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","37.728","-122.5052","2.4","2010-01-29",,,"0.38","0.0","0.0",,"57","49","54",,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","37.728","-122.5052","2.4","2010-01-30",,,"0.00","0.0","0.0",,"57","47","55",,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","37.728","-122.5052","2.4","2010-01-31",,,"0.00","0.0","0.0",,"58","46","56",,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","37.728","-122.5052","2.4","2010-02-01",,,"0.00","0.0","0.0",,"56","48","55",,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","37.728","-122.5052","2.4","2010-02-02",,,"0.00","0.0","0.0",,"58","49","56",,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","37.728","-122.5052","2.4","2010-02-03",,,"0.00","0.0","0.0",,"58","46","55",,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","37.728","-122.5052","2.4","2010-02-04",,,"0.34","0.0","0.0",,"58","49","53",,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","37.728","-122.5052","2.4","2010-02-05",,,"0.00","0.0","0.0",,"60","48","56",,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","37.728","-122.5052","2.4","2010-02-06",,,"0.72",,,,,,,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","37.728","-122.5052","2.4","2010-02-07",,,,"0.0",,,,,,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","37.728","-122.5052","2.4","2010-02-08",,"0.03",,"0.0",,,"56","47","53",,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","37.728","-122.5052","2.4","2010-02-09",,,"0.32","0.0",,,"57","46","55",,
